id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
8426597,2010-08-24 15:28:00,1194.0,4614.0,$100.00,Swipe Transaction,27092.0,Chattanooga,TN,37421.0,4829.0,
8017436,2010-05-17 08:38:00,1813.0,101.0,$3.18,Swipe Transaction,35451.0,White House,TN,37188.0,5812.0,
9783131,2011-07-11 12:07:00,135.0,2808.0,$60.30,Online Transaction,39021.0,ONLINE,,,4784.0,
8998421,2011-01-08 13:00:00,728.0,1174.0,$6.22,Swipe Transaction,57573.0,Independence,MO,64050.0,7542.0,
8919159,2010-12-20 19:19:00,546.0,4495.0,$37.16,Swipe Transaction,71707.0,Coventry,RI,2816.0,5812.0,
7609930,2010-02-04 11:02:00,1921.0,3024.0,$27.39,Swipe Transaction,13646.0,Danielsville,GA,30633.0,7538.0,
8917893,2010-12-20 13:33:00,1075.0,3287.0,$0.27,Swipe Transaction,86438.0,Louisville,KY,40299.0,5499.0,
8668408,2010-10-21 19:23:00,1772.0,5918.0,$11.06,Swipe Transaction,20561.0,El Monte,CA,91731.0,5912.0,
7485571,2010-01-03 14:37:00,1826.0,5779.0,$45.64,Online Transaction,9932.0,ONLINE,,,5311.0,
8573575,2010-09-29 06:02:00,1150.0,1225.0,$9.27,Swipe Transaction,35451.0,Hurst,TX,76054.0,5812.0,
8702023,2010-10-30 05:23:00,1786.0,2250.0,$12.17,Swipe Transaction,60354.0,Louisville,OH,44641.0,5411.0,
7813070,2010-03-27 12:23:00,1638.0,3856.0,$16.27,Swipe Transaction,75781.0,San Diego,CA,92130.0,5411.0,
8566257,2010-09-27 10:11:00,474.0,5845.0,$129.86,Swipe Transaction,9937.0,Williston Park,NY,11596.0,4900.0,
8762377,2010-11-13 13:30:00,242.0,1229.0,$115.37,Swipe Transaction,44795.0,Anchorage,AK,99504.0,3780.0,
9276784,2011-03-15 10:37:00,421.0,5560.0,$9.13,Swipe Transaction,59397.0,Cedar Rapids,IA,52405.0,5812.0,
7993504,2010-05-11 09:50:00,1985.0,2834.0,$2.31,Swipe Transaction,50783.0,Alpharetta,GA,30022.0,5411.0,
